var1	var15	var16
4	10/14/1990	1
8	03/20/1990	0
12	12/20/1991	0
14	04/04/1991	0
27	07/19/1991	1
28	04/17/1991	0
32	06/11/1990	0
38	08/25/1990	0
40	05/13/1991	0
41	08/11/1990	0
42	06/10/1990	0
47	05/10/1992	1
50	02/16/1989	0
51	05/17/1992	0
52	02/06/1994	1
53	04/08/1991	0
58	12/02/1990	0
61	01/08/1992	0
73	09/11/1991	0
75	03/08/1991	0
82	10/28/1989	0
84	11/27/1989	0
92	11/14/1995	0
96	04/08/1991	0
98	11/09/1991	0
100	05/26/1992	0
102	09/27/1991	0
111	05/31/1990	0
112	04/22/1992	0
127	10/17/1989	1
136	11/15/1990	0
137	07/22/1989	0
143	10/25/1992	0
145	12/14/1990	1
153	06/20/1989	0
154	10/18/1990	1
165	01/05/1992	1
170	06/10/1990	0
173	02/25/1991	0
180	01/24/1990	0
184	12/03/1993	0
186	07/28/1991	0
187	04/07/1992	0
190	04/01/1990	0
191	11/18/1992	0
195	02/20/1992	1
202	03/11/1991	1
204	01/19/1995	1
207	01/10/1992	0
208	04/19/1991	1
211	02/10/1991	0
214	10/31/1990	0
219	01/18/1991	0
222	08/29/1990	1
225	02/14/1990	0
237	02/09/1991	0
238	06/04/1989	1
241	05/01/1991	1
247	05/11/1992	0
249	12/12/1989	0
260	02/06/1991	0
266	03/20/1990	0
271	05/02/1991	0
273	04/15/1990	1
276	05/07/1992	0
277	10/01/1992	0
278	09/19/1989	0
282	04/15/1994	0
285	10/31/1990	1
292	05/03/1991	0
295	12/10/1992	0
297	09/08/1990	0
298	06/17/1992	0
299	01/21/1995	1
308	03/19/1992	0
310	12/25/1991	0
319	11/13/1995	0
327	04/19/1989	0
331	11/04/1991	1
333	01/19/1992	0
335	11/09/1991	0
343	09/30/1989	0
346	01/27/1992	1
357	11/28/1990	0
362	06/19/1992	0
365	08/01/1989	0
369	08/10/1992	0
370	10/10/1992	0
371	07/05/1991	0
376	09/08/1990	0
378	08/09/1990	0
379	09/09/1995	0
380	01/14/1991	1
381	01/13/1990	0
382	03/21/1992	0
384	09/01/1991	1
398	10/21/1991	0
401	04/01/1995	0
409	06/30/1991	0
412	06/10/1989	1
